SubBank	QuestionText	QuestionType	Choice1	Choice2	Choice3	Choice4	Choice5	Grade1	Grade2	Grade3	Grade4	Grade5
Servlets - Session Management-Application	"Carefully read the question and answer accordingly.
Which two of the following statements correctly store an object associated with a name at a place where all the servlets/JSPs of the same webapp participating in a session can use it?
(Assume that request, response, name, value etc. are references to objects of appropriate types.)
1.response.setAttribute(name, value) 
2.getServletContext().setAttribute(name, value)
3.request.setAttribute(name, value) 
4.request.getSession().setAttribute(name, value)
5.request.setParameter(name, value)"	MCQ	1&2	1&3	2&3	2&4	1&4	0	0	0	1	0
Servlets - Session Management-Application	"Carefully read the question and answer accordingly.
Consider the following servlet code segment:
 HttpSession session = request.getSession(true);
 session.setAttribute(“name”, “Cognizant”);
 session.invalidate(0);
 if (session.isNew())
 {  System.out.println(session.getAttribute(“name”);
 } else {  System.out.println(session.isNew());
 }
 What is the output of the above code segment ?"	MCQ	Displays “Cognizant” always	Displays “false” always	Throws exception	Depends on whether the session is newly created or not		0	0	1	0	
Servlets - Session Management-Application	"Carefully read the question and answer accordingly.
Consider the following code for an HTML form.
<form action=”/servlet/Login”>
<input type=”text” name=”username” value=”enter username”/>
<input type=”submit”  name=”sbbutton” value=”signin!..”/>
</form>
Which of the following happens upon pressing the submit button in the above form?
1.A request is sent with the HTTP method GET.
2.A request is sent with the HTTP method POST.
3.The parameter username is the only parameter passed to the web server in the request.
4.The parameters username and sbbutton are passed to the web server in the request URL."	MCQ	1&2	1&3	2&3	2&4	1&4	0	0	0	0	1
Servlets - Session Management-Application	"Carefully read the question and answer accordingly.
Consider the following code snippet:
ServletContext sc = this.getServletContext();
RequestDispatcher dis = sc.getRequestDispatcher(""/menu.jsp"");
if (dis != null){
dis.include(request, response);
}
PrintWriter out = response.getWriter();
out.print(""Output after menu.jsp"");
Which one of the following will be the correct outcome when the above lines are executed?"	MCQ	Compilation and output of the contents of menu.jsp only	Compilation and output of the contents of menu.jsp followed by "Output after menu.jsp"	Compilation error	Compilation, but runtime error, the buffer has been flushed		0	1	0	0	
Servlets - Session Management-Application	"Carefully read the question and answer accordingly.
Which of the following options can be used by the controller to destroy a session of a web application immediately?"	MCQ	By using the invalidate() method	By setting the session-timeout parameter in the web.xml file to 1 minute	By setting the setMaxInactiveInterval() method period to 60 seconds	By using the destroy() method		1	0	0	0	
Servlets - Session Management-Application	"Carefully read the question and answer accordingly.
Given an HttpServletRequest request:
22. String id = request.getParameter(""jsessionid"");
23. // insert code here
24. String name = (String) session.getAttribute(""name"");
Which statement can be placed at line 23 to retrieve an existing HttpSession object?"	MCQ	HttpSession session = request.getSession(id);	HttpSession session = request.getSession(true);	HttpSession session = request.getSession("jsessionid");	None of the listed options		0	1	0	0	
Servlets - Session Management-Application	"Carefully read the question and answer accordingly.
Consider the following deployment descriptor(web.xml)file:
<session-config>
<session-timeout>
30
</session-timeout>
</session-config>
Then, in the Servlet program code setMaxInactiveInterval(600)(seconds) for the session object is invoked. After how long would session expire? Select one answer from the following."	MCQ	30 minutes	10 minutes	Gives illegalStateException	None of the listed options		0	1	0	0	
Servlets - Session Management-Application	"Carefully read the question and answer accordingly.
Which of the following is the deployment descriptor file of a web application? Assuming that the name of the Web application is BankApp."	MCQ	BankApp.xml	WebApp.xml	deployment.xml	web.xml		0	0	0	1	
Servlets - Session Management-Application	"Carefully read the question and answer accordingly.
Martin has created a Web application in which a servlet stores a JDBC URL as an attribute of the session object to access a database. He wants other servlets of the application to retrieve the URL attribute from the session object to access the database. Which of the following code snippets can Martin use to retrieve the URL from the session object?"	MCQ	HttpSession session = request.getSession(); String url =(String)session.getAttribute("URL");	HttpSession session = request.getSession(); String url =session.getAttribute("URL");	String url =(String)session.getSession("URL");	HttpServletRequest session = request.getSession(); String url =(String)session.getAttribute("URL");		1	0	0	0	
Servlets - Introduction and Chaining-Application	"Carefully read the question and answer accordingly.
Consider  the following statements:
Statement A: GenericServlet is an abstract class
Statement B: GenericServlet internally implements Servlet interface
Which of the following is true about these statements?"	MCQ	Statement A is true and statement B is true.	Statement A is true and statement B is false.	Statement A is false and statement B is true.	Statement A is false and statement B is false.		1	0	0	0	
Servlets - Introduction and Chaining-Application	"Carefully read the question and answer accordingly.
You being a software developer needs to develop a web application for your organization. You decided to use servlets to create the web application. While you are creating the servlet you feel the need to write the code for the initialization of the servlet. This is needed to initialize the servlet with the required data after the servlet instance has been created. How will you perform this task?"	MCQ	By overriding the service method in the servlet class.	By overriding the init method in the servlet class.	By overriding the destroy method in the servlet class.	By overriding the doGet method in the servlet class.		0	1	0	0	
Servlets - Introduction and Chaining-Application	"Carefully read the question and answer accordingly.
Manoj has created the Hello servlet that displays Welcome in the browser window. The code of the servlet is:
package myworld;
import java.io.IOException;
import java.io.PrintWriter;
import javax.servlet.ServletConfig;
import javax.servlet.ServletException;
import javax.servlet.http.HttpServlet;
import javax.servlet.http.HttpServletRequest;
import javax.servlet.http.HttpServletResponse;
public class hello extends HttpServlet 
{
   protected void doGet(HttpServletRequest request HttpServletResponse response) throws ServletException IOException   
   {
      PrintWriter out = response.getWriter();
      out.println(""<html>"");
      out.println(""<head>"");
      out.println(""<title>My Servlet</title>"");
      out.println(""</head>"");
      out.println(""<body>"");
      out.println(""<h>WELCOME</h>"");
      out.println(""</body>"");
      out.println(""</html>"");
      out.close();
   }
}
Which of the following code snippets correctly defines the deployment descriptor for the preceding servlet?"	MCQ	<servlet> <servlet-name>hello</servlet-name> <servlet-class>hello</servlet-class> </servlet> <servlet-mapping> <servlet-name>hello</servlet-name> <url-pattern>/hello</url-pattern> </servlet-mapping>	<servlet> <servlet-name>hello</servlet-name> <servlet-class>myworld.hello</servlet-class> </servlet> <servlet-mapping> <servlet-name>hello</servlet-name> <url-pattern>/hello</url-pattern> </servlet-mapping>	<servlet> <servlet-name>myworld.hello</servlet-name> <servlet-class>hello</servlet-class> </servlet> <servlet-mapping> <servlet-name>hello</servlet-name> <url-pattern>/hello</url-pattern> </servlet-mapping>	<servlet> <servlet-name>hello</servlet-name> <servlet-class>myworld.hello</servlet-class> </servlet> <servlet-mapping> <servlet-name>hello</servlet-name> <url-pattern>hello</url-pattern> </servlet-mapping>		0	1	0	0	
Servlets - Introduction and Chaining-Application	"Carefully read the question and answer accordingly.
Which of the following codes will allow the user to load the servlet using form. The form should first display submit button and when the user clicks on submit button it should load the servlet called myservlet?"	MCQ	<HTML> <BODY> <FORM ACTION=http://localhost:8080/servlet/myservlet METHOD=GET> </FORM> </BODY> </HTML>	<HTML> <BODY> <FORM ACTION=http://localhost:8080/servlet/myservlet METHOD=GET> <INPUT TYPE=SUBMIT VALUE=SUBMIT> </FORM> </BODY> </HTML>	<HTML> <BODY> <INPUT TYPE=SUBMIT VALUE=SUBMIT> </FORM> </BODY> </HTML>	<HTML> <BODY> <FORM ACTION=http://localhost:8080/servlet METHOD=GET> <INPUT TYPE=SUBMIT VALUE=SUBMIT> </FORM> </BODY> </HTML>		0	1	0	0	
Servlets - Introduction and Chaining-Application	"Carefully read the question and answer accordingly.
Select the code to chain a servlet with another servlet"	MCQ	RequestDispatcher dispatcher = request.getRequestDispatcher("Servlet2"); dispatcher.forward(req, resp);	RequestDispatcher dispatcher = request.getRequestDispatcher("Servlet2"); dispatcher.dispatch(req, resp);	RequestDispatcher dispatcher = request.getRequestDispatcher("Servlet2"); dispatcher.chain(req, resp);	request.sendRedirect("Servlet2");		1	0	0	0	
Servlets - Introduction and Chaining-Application	"Carefully read the question and answer accordingly.
Mahesh has observed that some users are able to directly access the content files stored in the Web application from the Web browser. Which of the following options should Mahesh use to prevent the users from directly accessing the content files?"	MCQ	By storing the content files under the dist directory	By storing the content files under the META-INF directory	By storing the content files under the WEB-INF directory	By storing the content files under the INF directory		0	0	1	0	
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
Which of the following is an interface that gets data from the client and sends it to the servlet?"	MCQ	ServletRequest	ServletResponse	PrintStream	ServletConfig		1	0	0	0	
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
Whenever a request goes from the client to the server some additional information other than the request is also passed to the server. This additional information is in the form of a ____________."	MCQ	footer	header	Application ID	Session ID		0	1	0	0	
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
Which of the following is / are true about a firewall server?"	MCA	Firewall server mainly focusses on network security within a LAN	One of the key tasks of firewall is routing between a cluster of servers	A Proxy server can be a firewall server	Based on rules set, the firewall server will filter the incoming requests over internet	A firewall server will add security tokens to the requests before passing to destination server	0	0	0.5	0.5	0
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
HTTP cannot save state information between one request and other"	MCQ	TRUE	FALSE				1	0			
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
If the application is associated with JDK, it will lead to lighter memory footprint compared associating the application to JRE"	MCQ	TRUE	FALSE				0	1			
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
Consider  the following statements:
Statement A: Modules of Java code run in a server application is called Applet
Statement B: Modules of Java code run at client side is called Servlet
Which of the following is true about these statements?"	MCQ	Statement A is true and statement B is true.	Statement A is true and statement B is false.	Statement A is false and statement B is true.	Statement A is false and statement B is false.		0	0	0	1	
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
Which method can be used to submit form data that should not be exposed for viewing?"	MCQ	PUT	GET	POST	REQUEST		0	0	1	0	
Servlets - Introduction and Chaining-Knowledge	"Carefully read the question and answer accordingly.
Which of the following is NOT TRUE for the servlet?"	MCQ	Servlets are Platform Independent.	Servlets are robust and object oriented.	Servlets only contains business logic.	Each request in servlet runs in separate thread.		0	0	1	0	
